                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.28518,                 0.2536,                 0.8628,                0.89033,                0.77361,                 0.8115,                0.77395,                0.92025,                 1.1803,                 1.5435,             0.00085604,             0.00085604,             0.00085604
                     83,                0.29365,                0.26476,                0.87188,                0.98438,                0.77361,                0.79378,                0.76318,                0.92303,                  1.085,                 1.5895,             0.00084897,             0.00084897,             0.00084897
                     84,                0.30419,                0.26374,                0.87942,                0.99274,                0.77415,                0.80807,                0.77505,                0.91827,                0.99785,                 1.5953,              0.0008419,              0.0008419,              0.0008419
                     85,                 0.2784,                0.24841,                 0.8724,                0.98735,                0.77361,                0.79946,                0.77872,                0.94369,                 1.0281,                 1.5749,             0.00083482,             0.00083482,             0.00083482
                     86,                0.28573,                0.25396,                0.86895,                 0.9915,                0.76528,                0.80883,                0.77439,                0.93487,                0.96954,                 1.5899,             0.00082775,             0.00082775,             0.00082775
                     87,                0.28975,                 0.2505,                0.86897,                0.99647,                0.77271,                0.81942,                0.79266,                 0.8992,                0.84416,                 1.5132,             0.00082067,             0.00082067,             0.00082067
                     88,                0.29382,                0.26037,                0.87512,                 0.9953,                0.76528,                0.80446,                0.78082,                 0.9123,                0.91408,                 1.5052,              0.0008136,              0.0008136,              0.0008136
                     89,                0.28296,                0.25733,                 0.8711,                0.99255,                0.77242,                0.79465,                0.76749,                0.95868,                 0.9128,                 1.5342,             0.00080653,             0.00080653,             0.00080653
                     90,                0.27787,                0.24241,                0.85754,                0.98467,                0.77361,                0.80018,                0.76384,                0.97074,                0.85979,                  1.535,             0.00079945,             0.00079945,             0.00079945
                     91,                0.27616,                0.26109,                0.86405,                0.99402,                0.77238,                0.80225,                0.78192,                0.95602,                 1.0223,                 1.5798,             0.00079238,             0.00079238,             0.00079238
                     92,                0.28067,                0.24679,                0.87076,                0.99444,                0.77361,                0.79905,                 0.7729,                0.95668,                 1.0547,                 1.5993,             0.00078531,             0.00078531,             0.00078531
